'Παραγγελία κωδικός παραγγελίας','Κωδικός κωδικός είδους','Περιγραφή','Τεμάχια','Κωδικός πελάτη αποθέτη','Κωδικός Παραλήπτη','Κωδικος σημείου','Κωδικός σημείου παράδοσης' 
19,64,"ΣΚΙΑ ΜΟΝΗ 104057 AMETHYST",1,HC,HC.0206,HC.0206/6,HC.0206,
19,65,"ΣΚΙΑ ΜΟΝΗ 104059 BLUE LAGOON",1,HC,HC.0206,HC.0206/6,HC.0206,
19,66,"title1
",3,HC,HC.0206,HC.0206/6,HC.0206,
19,67,"ΣΚΙΑ 107690 BRONZE SPARKLE",2,HC,HC.0206,HC.0206/6,HC.0206,
19,68,"SH.141863 GEL GREEN TEA EN250ml ENERGIZI",4,HC,HC.0206,HC.0206/6,HC.0206,
